agent_id,agent_name,city,joining_date,rating
1,Pawan Tiwari,Delhi,2022-01-13,4.5
2,Arjun Nair,Mumbai,2022-03-13,4.5
3,Harish Rao,Kolkata,2022-02-14,4.2
4,Amit Singh,Delhi,2022-02-17,3.4
5,Ajay Thakur,Kolkata,2022-01-14,4.1
6,Nitin Kulkarni,Kolkata,2022-08-03,3.4
7,Kiran Shetty,Bangalore,2023-02-19,4.7
8,Yogesh Pawar,Mumbai,2022-12-24,3.8
9,Karthik Reddy,Mumbai,2022-04-21,4.9
10,Naveen Joshi,Delhi,2022-02-17,3.8
11,Sanjay Mishra,Bangalore,2022-11-06,3.5
12,Amit Singh,Chennai,2022-10-02,3.2
13,Lokesh Chauhan,Chennai,2022-02-10,4.1
14,Vivek Srivastava,Kolkata,2023-03-30,4.7
15,Kiran Shetty,Mumbai,2022-12-27,3.1
16,Harish Rao,Mumbai,2023-01-31,3.6
17,Suresh Yadav,Mumbai,2023-03-20,3.2
18,Karthik Reddy,Chennai,2022-11-22,4.7
19,Manoj Verma,Bangalore,2022-07-01,3.4
20,Karthik Reddy,Delhi,2022-11-08,4.3
21,Rohit Malhotra,Mumbai,2022-03-25,3.9
22,Karthik Reddy,Kolkata,2022-04-23,4.4
23,Vivek Srivastava,Delhi,2022-04-28,4.6
24,Shubham Arora,Bangalore,2022-07-25,3.5
25,Deepak Gupta,Kolkata,2023-03-25,4.4
26,Deepak Gupta,Chennai,2022-07-22,4.8
27,Pawan Tiwari,Chennai,2022-03-15,3.5
28,Arjun Nair,Kolkata,2022-10-03,3.5
29,Kiran Shetty,Chennai,2023-04-05,4.2
30,Sanjay Mishra,Mumbai,2022-03-12,4
31,Suresh Yadav,Delhi,2023-03-17,3.2
32,Pawan Tiwari,Mumbai,2023-02-10,4.4
33,Gaurav Bansal,Delhi,2022-07-17,3.8
34,Anil Mehta,Kolkata,2022-05-09,4.9
35,Mahesh Pillai,Delhi,2022-12-15,4.4
36,Harish Rao,Kolkata,2023-01-20,3.5
37,Pawan Tiwari,Bangalore,2022-02-27,3.6
38,Manoj Verma,Chennai,2022-01-02,4.9
39,Tarun Saxena,Bangalore,2023-05-13,4
40,Manoj Verma,Kolkata,2023-04-13,3.2
41,Pawan Tiwari,Bangalore,2023-03-07,4.3
42,Gaurav Bansal,Mumbai,2022-03-20,3.7
43,Manoj Verma,Kolkata,2023-05-04,4.6
44,Ajay Thakur,Delhi,2022-11-03,3.6
45,Ravi Kumar,Delhi,2023-04-21,3.7
46,Vivek Srivastava,Bangalore,2022-05-03,3.1
47,Tarun Saxena,Kolkata,2023-04-30,3.2
48,Abhishek Jain,Chennai,2023-02-22,3.1
49,Yogesh Pawar,Kolkata,2023-01-28,3.3
50,Harish Rao,Chennai,2023-04-30,4.1
51,Karthik Reddy,Kolkata,2023-03-23,4.2
52,Deepak Gupta,Kolkata,2023-01-22,4.5
53,Deepak Gupta,Bangalore,2022-07-24,5
54,Pawan Tiwari,Bangalore,2022-08-13,4.8
55,Anil Mehta,Delhi,2022-05-07,3.4
56,Naveen Joshi,Delhi,2022-10-29,4.1
57,Kiran Shetty,Mumbai,2022-01-04,3.1
58,Pawan Tiwari,Delhi,2022-04-28,3.1
59,Amit Singh,Bangalore,2022-02-06,4
60,Karthik Reddy,Chennai,2022-04-20,4.1
61,Abhishek Jain,Kolkata,2022-10-23,3.9
62,Shubham Arora,Chennai,2023-02-18,3.8
63,Vikram Patel,Delhi,2022-12-04,3.9
64,Ramesh Das,Chennai,2022-08-28,4.7
65,Amit Singh,Delhi,2022-02-01,3.8
66,Naveen Joshi,Delhi,2022-05-08,3.4
67,Rohit Malhotra,Chennai,2022-03-13,3.8
68,Karthik Reddy,Chennai,2022-05-08,4.7
69,Suresh Yadav,Chennai,2023-02-18,4.7
70,Rohit Malhotra,Delhi,2022-01-26,4.3
71,Rohit Malhotra,Delhi,2023-05-12,3.2
72,Yogesh Pawar,Mumbai,2022-03-27,3.8
73,Sunil Choudhary,Mumbai,2023-03-19,3.8
74,Amit Singh,Mumbai,2022-07-14,3
75,Prakash Iyer,Bangalore,2023-04-20,4.6
76,Anil Mehta,Bangalore,2022-08-05,4.4
77,Abhishek Jain,Kolkata,2022-12-05,4.4
78,Rahul Sharma,Mumbai,2022-06-01,3.4
79,Amit Singh,Kolkata,2023-01-12,4.1
80,Abhishek Jain,Bangalore,2022-01-30,3.1
81,Sunil Choudhary,Kolkata,2023-04-16,4.7
82,Manoj Verma,Delhi,2023-05-07,4
83,Mahesh Pillai,Mumbai,2022-02-05,4.2
84,Harish Rao,Mumbai,2022-07-26,3.2
85,Tarun Saxena,Kolkata,2022-05-07,4.2
